name,E_Pa,Sy_Pa
Kevlar/Epoxy Var3,70000000000.0,360000000.0
G10/FR4 Var3,24000000000.0,310000000.0
"Alumina (Al2O3, 95%) Var3",300000000000.0,250000000.0
Zirconia (Y-TZP) Var3,210000000000.0,1200000000.0
Silicon Carbide (SiC) Var3,450000000000.0,400000000.0
Silicon Nitride (Si3N4) Var3,305000000000.0,800000000.0
Glass (Soda-lime) Var3,70000000000.0,100000000.0
Glass (Borosilicate) Var3,64000000000.0,120000000.0
Fused Silica Var3,72000000000.0,50000000.0
Concrete (Normal Strength) Var3,30000000000.0,30000000.0
Concrete (High Strength) Var3,40000000000.0,60000000.0
Mortar Var3,15000000000.0,15000000.0
Wood (Pine) Var3,8000000000.0,40000000.0
Wood (Douglas Fir) Var3,12000000000.0,50000000.0
Wood (Oak) Var3,11000000000.0,60000000.0
Wood (Maple) Var3,11000000000.0,60000000.0
Wood (Birch) Var3,10500000000.0,55000000.0
Wood (Teak) Var3,12000000000.0,60000000.0
Bamboo Var3,11000000000.0,160000000.0
Carbon Steel A36 Var4,200000000000.0,250000000.0
Carbon Steel 1045 Var4,205000000000.0,530000000.0
Carbon Steel 1095 Var4,205000000000.0,800000000.0
Alloy Steel 4140 (QT) Var4,210000000000.0,655000000.0
Alloy Steel 4340 (QT) Var4,210000000000.0,1000000000.0
HSLA Steel A572 Gr50 Var4,200000000000.0,345000000.0
HSLA Steel A992 Var4,200000000000.0,345000000.0
Tool Steel D2 Var4,210000000000.0,550000000.0
Tool Steel H13 Var4,210000000000.0,1400000000.0
Spring Steel 5160 Var4,205000000000.0,1550000000.0
Stainless Steel 304 Var4,193000000000.0,215000000.0
Stainless Steel 316 Var4,193000000000.0,290000000.0
Stainless Steel 410 Var4,200000000000.0,275000000.0
Stainless Steel 420 Var4,200000000000.0,500000000.0
Stainless Steel 17-4PH Var4,196000000000.0,1100000000.0
Aluminum 1100-O Var4,69000000000.0,34000000.0
Aluminum 2024-T3 Var4,73000000000.0,320000000.0
Aluminum 5052-H32 Var4,70000000000.0,193000000.0
Aluminum 6061-T6 Var4,69000000000.0,270000000.0
Aluminum 7075-T6 Var4,72000000000.0,500000000.0
Titanium Grade 2 Var4,105000000000.0,340000000.0
Titanium Ti-6Al-4V Var4,114000000000.0,880000000.0
Inconel 625 Var4,205000000000.0,760000000.0
Inconel 718 Var4,210000000000.0,1000000000.0
Monel 400 Var4,179000000000.0,170000000.0
Hastelloy C-276 Var4,206000000000.0,350000000.0
Copper C11000 Var4,110000000000.0,70000000.0
Brass 260 Var4,100000000000.0,200000000.0
Bronze (Phosphor) Var4,110000000000.0,240000000.0
Magnesium AZ31B Var4,45000000000.0,200000000.0
Zinc Var4,108000000000.0,55000000.0
Lead Var4,16000000000.0,12000000.0
Tungsten Var4,400000000000.0,550000000.0
Molybdenum Var4,330000000000.0,550000000.0
Beryllium Var4,287000000000.0,240000000.0
ABS Var4,2000000000.0,35000000.0
Acrylic (PMMA) Var4,3200000000.0,60000000.0
Polycarbonate Var4,2300000000.0,70000000.0
Nylon 6/6 Var4,2800000000.0,70000000.0
POM (Delrin) Var4,3000000000.0,69000000.0
PEEK Var4,3600000000.0,90000000.0
HDPE Var4,1000000000.0,25000000.0
LDPE Var4,2000000000.0,20000000.0
PP (Polypropylene) Var4,1500000000.0,30000000.0
PTFE (Teflon) Var4,500000000.0,20000000.0
PVC (Rigid) Var4,2900000000.0,55000000.0
Carbon Fiber/Epoxy (UD) Var4,145000000000.0,600000000.0
Carbon Fiber/Epoxy (Woven) Var4,70000000000.0,400000000.0
Glass Fiber/Epoxy (E-glass) Var4,40000000000.0,350000000.0
Kevlar/Epoxy Var4,70000000000.0,360000000.0
G10/FR4 Var4,24000000000.0,310000000.0
"Alumina (Al2O3, 95%) Var4",300000000000.0,250000000.0
Zirconia (Y-TZP) Var4,210000000000.0,1200000000.0
Silicon Carbide (SiC) Var4,450000000000.0,400000000.0
Silicon Nitride (Si3N4) Var4,305000000000.0,800000000.0
Glass (Soda-lime) Var4,70000000000.0,100000000.0
Glass (Borosilicate) Var4,64000000000.0,120000000.0
Fused Silica Var4,72000000000.0,50000000.0
Concrete (Normal Strength) Var4,30000000000.0,30000000.0
Concrete (High Strength) Var4,40000000000.0,60000000.0
Mortar Var4,15000000000.0,15000000.0
Wood (Pine) Var4,8000000000.0,40000000.0
Wood (Douglas Fir) Var4,12000000000.0,50000000.0
Wood (Oak) Var4,11000000000.0,60000000.0
Wood (Maple) Var4,11000000000.0,60000000.0
Wood (Birch) Var4,10500000000.0,55000000.0
Wood (Teak) Var4,12000000000.0,60000000.0
Bamboo Var4,11000000000.0,160000000.0
Carbon Steel A36 Var5,200000000000.0,250000000.0
Carbon Steel 1045 Var5,205000000000.0,530000000.0
Carbon Steel 1095 Var5,205000000000.0,800000000.0
Alloy Steel 4140 (QT) Var5,210000000000.0,655000000.0
Alloy Steel 4340 (QT) Var5,210000000000.0,1000000000.0
HSLA Steel A572 Gr50 Var5,200000000000.0,345000000.0
